"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Psiko-Power+Psikolog/data=!4m7!3m6!1s0x31d5ad585dda9b37:0x172f691730b66b24!8m2!3d0.5208065!4d101.4486508!16s%2Fg%2F11h3l05ptn!19sChIJN5vaXVit1TERJGu2MBdpLxc?authuser=0&hl=id&rclk=1","Psiko-Power Psikolog","2,6","(5)","Psikolog","·","Gg. Kartini 1 No. 11 F","","","","0811-7672-967","","","Rute","","","",""
"https://www.google.com/maps/place/Praktik+Psikolog+Klinis+-+Anak,+Remaja,+dan+Dewasa+-+Paramita+Estikasari,+M.Psi,+Psikolog/data=!4m7!3m6!1s0x31d989f486a1dc4f:0xfcd934943fd6fdfa!8m2!3d1.1141891!4d104.0912488!16s%2Fg%2F11pyvml8js!19sChIJT9yhhvSJ2TER-v3WP5Q02fw?authuser=0&hl=id&rclk=1","Praktik Psikolog Klinis - Anak, Remaja, dan Dewasa - Paramita Estikasari, M.Psi, Psikolog","4,7","(36)","Psikolog","·","Perumahan Grand BSI Cluster Kerinci Blok C10","","","","0821-7365-5794","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""terimakasih mba mita, semoga kita bisa ketemu lagi dilain sesi 💕"""
"https://www.google.com/maps/place/RS+Jiwa+Tampan/data=!4m7!3m6!1s0x31d5a85be66bb65b:0x843e44bbd84eb38d!8m2!3d0.4649441!4d101.3825906!16s%2Fg%2F1hm348c4c!19sChIJW7Zr5luo1TERjbNO2LtEPoQ?authuser=0&hl=id&rclk=1","RS Jiwa Tampan","3,4","(172)","Rumah Sakit Jiwa","·","·","Tutup","· Buka Sen pukul 08.00","Jl. HR. Soebrantas No.KM 12, RW.5","0822-6678-0044","https://rsjiwatampan.riau.go.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rehap psikososial nya bagus Rawat jalan
Kegiatan nya lengkap"""
"https://www.google.com/maps/place/Ikatan+Psikologi+Klinis+%28IPK%29/data=!4m7!3m6!1s0x31d5a842c0419c9d:0xda6b0544449ccb8c!8m2!3d0.4610804!4d101.3758598!16s%2Fg%2F1pzsmpbfg!19sChIJnZxBwEKo1TERjMucREQFa9o?authuser=0&hl=id&rclk=1","Ikatan Psikologi Klinis (IPK)","","","Psikiater","·","Jl. Paku Perumahan Tampan Permai No.132","","","","0822-7595-0867","","","Rute","","","",""
"https://www.google.com/maps/place/Andarma,+M.+Psi/data=!4m7!3m6!1s0x31d5a87791424a61:0xfd302c72ead95fe9!8m2!3d0.442917!4d101.3762048!16s%2Fg%2F11b6dkbsw8!19sChIJYUpCkXeo1TER6V_Z6nIsMP0?authuser=0&hl=id&rclk=1","Andarma, M. Psi","4,0","(4)","Psikiater","·","C9VG+5F8, Jl. Taman Karya Panam No.18","","","","0813-6553-7885","","","Rute","","","",""
"https://www.google.com/maps/place/dr.Yunita+Sp.KJ+%28Dokter+Spesialis+Kejiwaan%29/data=!4m7!3m6!1s0x31d9891954d44a4d:0xfcc5ea6ff24333dd!8m2!3d1.1065311!4d104.0793926!16s%2Fg%2F11z1vbtd9n!19sChIJTUrUVBmJ2TER3TND8m_qxfw?authuser=0&hl=id&rclk=1","dr.Yunita Sp.KJ (Dokter Spesialis Kejiwaan)","5,0","(71)","Psikiater","·","·","Tutup","· Buka Sen pukul 17.00","Komplek Pertokoan Grand Junction Blok A No. 07-08","0822-8217-3700","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dokternya ramah banget...sangat profesional, staff nya baik dan ..."""
"https://www.google.com/maps/place/Praktik+Psikolog/data=!4m7!3m6!1s0x31d9896e21eb7163:0x1199e2b4fd14409a!8m2!3d1.1257808!4d104.0515328!16s%2Fg%2F11swk0spk7!19sChIJY3HrIW6J2TERmkAU_bTimRE?authuser=0&hl=id&rclk=1","Praktik Psikolog","3,8","(4)","Konsultan","·","43G2+8M","Buka","· Tutup pukul 18.00","·","0813-7201-1086","","","Rute","","","",""
"https://www.google.com/maps/place/Lembaga+Psikologi+Terapan+Persona/data=!4m7!3m6!1s0x31d98e1555555555:0x15c377256118f209!8m2!3d1.1205556!4d104.055999!16s%2Fg%2F11gfk0l3z4!19sChIJVVVVVRWO2TERCfIYYSV3wxU?authuser=0&hl=id&rclk=1","Lembaga Psikologi Terapan Persona","4,8","(5)","Psikolog","·","Komplek Ruko The Summer, Jl. Raja Isa Blk. B2 No.11-12","Buka","· Tutup pukul 00.00","·","0812-7737-8577","https://lptpersona.com/","","Situs Web","","Rute","",""
"https://www.google.com/maps/place/Yayasan+Praktek+Psikolog+Indonesia/data=!4m7!3m6!1s0x31d989c9f52567e9:0x6e116578eb19b260!8m2!3d1.1077145!4d104.085227!16s%2Fg%2F11sbw61p3h!19sChIJ6Wcl9cmJ2TERYLIZ63hlEW4?authuser=0&hl=id&rclk=1","Yayasan Praktek Psikolog Indonesia","5,0","(3)","Psikolog","·","Bee Office, Komplek Ruko Mall Botani 2, Blok A7, RT.1/RW.2","Tutup","· Buka Sen pukul 08.00","·","0812-1345-8601","http://www.praktekpsikolog.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""""
"https://www.google.com/maps/place/Klinik+Hipnoterapi+Tanjungpinang+-+Konsultasi+Psikologis/data=!4m7!3m6!1s0x31d9732d322b0f87:0xa9fb938cc7f06413!8m2!3d0.9405095!4d104.5128508!16s%2Fg%2F11pb7h4cps!19sChIJhw8rMi1z2TERE2Twx4yT-6k?authuser=0&hl=id&rclk=1","Klinik Hipnoterapi Tanjungpinang - Konsultasi Psikologis","4,9","(30)","Layanan Hipnoterapi","·","Perumahan Villa Vista, Lorong ke Empat Blok E Nomor 6","Buka","· Tutup pukul 22.00","·","0853-8888-8686","https://s.id/Hipnoterapi-Tanjungpinang","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""terimakasih pelayanan terbaik yg pernah saya dapatkan"""
