"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Octa+Reni+Setiawati,+S.Psi.,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2e40bb2b7469073b:0x10c347a19d23ea44!8m2!3d-5.0939906!4d105.3021915!16s%2Fg%2F11h3rgx3q_!19sChIJOwdpdCu7QC4RROojnaFHwxA?authuser=0&hl=id&rclk=1","Octa Reni Setiawati, S.Psi., M.Psi., Psikolog","5,0","(2)","Psikolog","·","Jl. Dr. Sutomo No.131","","","","0811-1840-911","","","Rute","","","",""
"https://www.google.com/maps/place/Grahita+Indonesia/data=!4m7!3m6!1s0x2e473b17c573b527:0x5e58f9b5e49001de!8m2!3d-5.3526176!4d104.786371!16s%2Fg%2F11hbv9x2d1!19sChIJJ7VzxRc7Ry4R3gGQ5LX5WF4?authuser=0&hl=id&rclk=1","Grahita Indonesia","5,0","(2)","Psikolog","·","Jln Baru GG Jasela No.5","","","","0853-1154-4288","","","Rute","","","",""
"https://www.google.com/maps/place/Biro+Konsultasi+Psikologi+%22Hijau%22/data=!4m7!3m6!1s0x2e473594aae7bdd9:0x369b3cc96e4dbb08!8m2!3d-5.227411!4d104.9623473!16s%2Fg%2F11c1x03vg_!19sChIJ2b3nqpQ1Ry4RCLtNbsk8mzY?authuser=0&hl=id&rclk=1","Biro Konsultasi Psikologi ""Hijau""","","","Psikolog","·","QXF6+2WQ","Buka","· Tutup pukul 17.00","","","","","Rute","","","",""
"https://www.google.com/maps/place/Dr.+Zulkarnaen.+Sp.KJ+%28Dokter+Spesialis+Kejiwaan%29/data=!4m7!3m6!1s0x2e40db3e08cb1931:0x4a183659925f78f3!8m2!3d-5.4179352!4d105.2537418!16s%2Fg%2F11kq398qdz!19sChIJMRnLCD7bQC4R83hfklk2GEo?authuser=0&hl=id&rclk=1","Dr. Zulkarnaen. Sp.KJ (Dokter Spesialis Kejiwaan)","5,0","(6)","Dokter","·","Apotek Kimia Farma, Jl. Kartini No.44-45","Tutup","· Buka Sen pukul 17.00","·","0811-1067-8131","http://www.kimiafarmaapotek.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Baik, merespons pertanyaan dengan sangat jelas, informasi mudah dipahami"""
"https://www.google.com/maps/place/Lentera+Rumah+Psikologi+%28Praktik+Psikolog+Mandiri%29/data=!4m7!3m6!1s0x2e40f70065202cd7:0xf7a66de7f57bac77!8m2!3d-5.3082921!4d105.745946!16s%2Fg%2F11y8062stm!19sChIJ1ywgZQD3QC4Rd6x79edtpvc?authuser=0&hl=id&rclk=1","Lentera Rumah Psikologi (Praktik Psikolog Mandiri)","1,0","(2)","Psikolog","·","MPRW+M9P","","","","","","","Rute","","","",""
"https://www.google.com/maps/place/Mata+Hati+Metro/data=!4m7!3m6!1s0x2e40bc73ca5d4ca7:0x93377e51401170e8!8m2!3d-5.0984199!4d105.321714!16s%2Fg%2F11gfjtp_f_!19sChIJp0xdynO8QC4R6HARQFF-N5M?authuser=0&hl=id&rclk=1","Mata Hati Metro","5,0","(5)","Psikolog Anak","·","Jl. Jambu No.33","Tutup","· Buka Sen pukul 08.00","·","0822-6018-9900","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""082260189900 no wa admin mata hati yang fast respon ✅"""
"https://www.google.com/maps/place/Kantor+Insight+Consulting+Rumah+Psikologi+%26+Tumbuh+Kembang+Anak/data=!4m7!3m6!1s0x2e473364f68bbde9:0xe3012e186ff4c2b0!8m2!3d-5.3607451!4d104.9878538!16s%2Fg%2F11smbvj13b!19sChIJ6b2L9mQzRy4RsML0bxguAeM?authuser=0&hl=id&rclk=1","Kantor Insight Consulting Rumah Psikologi & Tumbuh Kembang Anak","4,5","(8)","Psikolog","·","JXQQ+P45, Jl. Johar 1","Buka","· Tutup pukul 15.00","·","0821-8414-4811","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomen banget untuk yang punya masalah psikologis ke sini."""
"https://www.google.com/maps/place/Layanan+Psikologi/data=!4m7!3m6!1s0x2e40da4638be5029:0x1b6970519939741d!8m2!3d-5.4244093!4d105.2532036!16s%2Fg%2F11v5s1slw4!19sChIJKVC-OEbaQC4RHXQ5mVFwaRs?authuser=0&hl=id&rclk=1","Layanan Psikologi","","","Klinik Medis","·","Jl. M. Husni Thamrin No.80","","","","","","","Rute","","","",""
"https://www.google.com/maps/place/Rhys+Layanan+Psikologi/data=!4m7!3m6!1s0x2e40bbf7318a53af:0x7bc0c0d98ef361dc!8m2!3d-5.1109942!4d105.3076258!16s%2Fg%2F11jk6j9mwd!19sChIJr1OKMfe7QC4R3GHzjtnAwHs?authuser=0&hl=id&rclk=1","Rhys Layanan Psikologi","","","Klinik Medis","·","V8Q5+J32, Jl. Diponegoro","","","","","","","Rute","","","",""
"https://www.google.com/maps/place/Rumah+Sakit+Jiwa+Provinsi+Lampung/data=!4m7!3m6!1s0x2e40d02242cbfcf5:0x182fbd5b3778ed51!8m2!3d-5.3752495!4d105.194584!16s%2Fg%2F1hm24ch8h!19sChIJ9fzLQiLQQC4RUe14N1u9Lxg?authuser=0&hl=id&rclk=1","Rumah Sakit Jiwa Provinsi Lampung","4,7","(700)","Rumah Sakit","·","·","Tutup","· Buka Sen pukul 00.00","Jl. Raya No No.Km.13","0811-7213-160","https://rsj.lampungprov.go.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanan baik, bukan hanya melayani poli kejiwaan tetapi juga poliumum"""
"https://www.google.com/maps/place/HOUSE+OF+SUCCESS/data=!4m7!3m6!1s0x2e40dbd4a6cf5811:0x3fc6cf42d213c2b4!8m2!3d-5.3680029!4d105.256082!16s%2Fg%2F1pzr022h1!19sChIJEVjPptTbQC4RtMIT0kLPxj8?authuser=0&hl=id&rclk=1","HOUSE OF SUCCESS","3,0","(2)","Psikolog","·","Ruko Eldorado), Kedaton, Jl. Untung Suropati No.26","Buka","· Tutup pukul 17.00","·","0821-7934-9466","","","Rute","","","",""
"","","","","","","","","","","","","","","","","",""
