"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 4","W4Efsd 5","W4Efsd 6","lcr4fd href","Cw1rxd 2","R8c4Qb 2","e4rVHe"
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Pontianak/data=!4m7!3m6!1s0x2e1d5988962916a7:0x1677c042761edddd!8m2!3d-0.0532879!4d109.3367971!16s%2Fg%2F11kb1xyx_9!19sChIJpxYplohZHS4R3d0edkLAdxY?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Pontianak","4,8","(10)","Psikolog","·","Ekoffie Office, Jl. Karya Baru Komplek, Taman Spain No.1","0812-1345-8601","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Buka","· Tutup pukul 23.00","·","https://praktekpsikolog.com/","","Rute",""
"https://www.google.com/maps/place/Praktek+Psikologi/data=!4m7!3m6!1s0x2df146df45849e9d:0x2275962763b678e3!8m2!3d-1.2744238!4d116.8447948!16s%2Fg%2F11j8ldl59q!19sChIJnZ6ERd9G8S0R43i2YyeWdSI?authuser=0&hl=id&rclk=1","Praktek Psikologi","","","Klinik Medis","·","PRGV+6WM, Jl. Blora II","","","Rute","","","","","","","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Gemilang+Raya+Sejahtera/data=!4m7!3m6!1s0x2dfcb3a4f6a892ed:0x5541fe32a0a11b12!8m2!3d-2.2203642!4d113.9230237!16s%2Fg%2F11gh025krb!19sChIJ7ZKo9qSz_C0REhuhoDL-QVU?authuser=0&hl=id&rclk=1","Gemilang Raya Sejahtera","5,0","(3)","Rumah Sakit Jiwa","·","Jl. Christopel Mihing","0852-4944-4851","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus.""","","","","","","",""
"https://www.google.com/maps/place/Huma+Consulting+%E2%80%9CKonsultan+Psikologi+%26+Sumber+Daya+Manusia%E2%80%9D/data=!4m7!3m6!1s0x2dfcb3d8552acf3b:0x797af09e17616eb3!8m2!3d-2.200083!4d113.910708!16s%2Fg%2F11n17bjt59!19sChIJO88qVdiz_C0Rs25hF57wenk?authuser=0&hl=id&rclk=1","Huma Consulting “Konsultan Psikologi & Sumber Daya Manusia”","5,0","(17)","Psikolog","·","Jl. Tjilik Riwut No.KM 1","0821-3787-4971","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan sangat ramah dan cepat, terimakasih Huma""","Tutup","· Buka Sen pukul 09.00","·","http://humapsikologi.com/","","Rute",""
"https://www.google.com/maps/place/IntraPersona+%28+Psikolog+Tanjung+Tabalong%29/data=!4m7!3m6!1s0x2dfab315a2e3f5c9:0x6ffa29cfb270485f!8m2!3d-2.1787328!4d115.4288855!16s%2Fg%2F11wq3pgmgh!19sChIJyfXjohWz-i0RX0hwss8p-m8?authuser=0&hl=id&rclk=1","IntraPersona ( Psikolog Tanjung Tabalong)","5,0","(3)","Psikolog","·","Komplek Pondok Indah III Blk. H No.09","0813-8128-2111","","Situs Web","","","Tutup","· Buka Sen pukul 10.00","·","https://www.instagram.com/intrapersona.id/profilecard/?igsh=eHd4YnBpbzgyanYx","","Rute",""
"https://www.google.com/maps/place/Jasa+Layanan+Psikologi+Harapan+Pribadi/data=!4m7!3m6!1s0x2dfcb3502e8384f1:0xc27cf023026ed821!8m2!3d-2.2031209!4d113.8945908!16s%2Fg%2F11h1p7nd0k!19sChIJ8YSDLlCz_C0RIdhuAiPwfMI?authuser=0&hl=id&rclk=1","Jasa Layanan Psikologi Harapan Pribadi","4,5","(8)","Psikolog","·","Jl. Beliang No.40AB","0821-5112-0606","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""jadwalnya fleksibel dan bisa menyesuaikan, nyaman dan bagus""","Tutup","· Buka Sen pukul 08.00","·","","","",""
"https://www.google.com/maps/place/Hypnocare+Palangkaraya+%7C+Hipnoterapi+%7C+Konsultasi+Psikolog/data=!4m7!3m6!1s0x2dfcb3fc296628ef:0x848ada009b015212!8m2!3d-2.2255214!4d113.8873611!16s%2Fg%2F11kqj2xz22!19sChIJ7yhmKfyz_C0RElIBmwDaioQ?authuser=0&hl=id&rclk=1","Hypnocare Palangkaraya | Hipnoterapi | Konsultasi Psikolog","5,0","(52)","Konsultan Kesehatan","·","Jl. Yossudarso IX","0813-4594-6359","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, fast respon, tempat yang bersih dan nyaman.""","Buka","· Tutup pukul 20.00","·","https://instagram.com/hypnocare.palangkaraya","","Rute",""
"https://www.google.com/maps/place/Ruang+Temu+Psikologi/data=!4m7!3m6!1s0x2dfcb30078b15e3b:0x790769472cccf8d7!8m2!3d-2.2390848!4d113.9275601!16s%2Fg%2F11vr8f2xts!19sChIJO16xeACz_C0R1_jMLEdpB3k?authuser=0&hl=id&rclk=1","Ruang Temu Psikologi","","","Psikolog","·","Jl. Temanggung Kanyapi I III No.50","","","Rute","","","Tutup","· Buka Sen pukul 16.00","","","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Praktek+Psikolog+-+Bahasa+Jiwa+Consulting+%28Konsultasi+dan+Asesmen+Psikologi%29/data=!4m7!3m6!1s0x2e08efcc0309688b:0x546b4c4f36dfb779!8m2!3d-2.6883329!4d111.6299514!16s%2Fg%2F11y45j5sl0!19sChIJi2gJA8zvCC4RebffNk9Ma1Q?authuser=0&hl=id&rclk=1","Praktek Psikolog - Bahasa Jiwa Consulting (Konsultasi dan Asesmen Psikologi)","4,0","(1)","Psikolog","·","Jl. Merak No.RT 08","0812-6945-440","","Rute","","","","","","","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+-+As+Syifa+Consulting+%26+Therapy+Center/data=!4m7!3m6!1s0x2e08ef764f494727:0xf72f439f89ab292b!8m2!3d-2.7071327!4d111.6214366!16s%2Fg%2F11mtn27bx_!19sChIJJ0dJT3bvCC4RKymriZ9DL_c?authuser=0&hl=id&rclk=1","Praktek Psikolog - As Syifa Consulting & Therapy Center","","","Psikoterapis","·","Jl. Cilik Riwut II","0822-3473-8327","","Rute","","","Buka","· Tutup pukul 17.00","·","","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Praktek+Psikolog+Resa,+Kota+Palangka+Raya/data=!4m7!3m6!1s0x2dfcb3cc5354d701:0x89dc2479d71c61bc!8m2!3d-2.2195328!4d113.9321079!16s%2Fg%2F11vd9qq24g!19sChIJAddUU8yz_C0RvGEc13kk3Ik?authuser=0&hl=id&rclk=1","Praktek Psikolog Resa, Kota Palangka Raya","","","Psikolog","·","Jl. Tamahas No.09, RT.002/RW.011","0838-4353-5974","","Rute","","","","","","","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Praktek+Mandiri+Psikolog+Klinis/data=!4m7!3m6!1s0x2e08cd0044b263d7:0x628471a186adb700!8m2!3d-2.7383686!4d111.1674912!16s%2Fg%2F11ynvv_wy8!19sChIJ12OyRADNCC4RALethqFxhGI?authuser=0&hl=id&rclk=1","Praktek Mandiri Psikolog Klinis","","","Psikolog","·","Jl. Tjilik riwut III, Gg. Terong No.rt 19","","","Rute","","","","","","","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Karakter+Bina+Insani+%28Biro+Psikologi+Karakter%29,+Balikpapan/data=!4m7!3m6!1s0x2df1471fc54646d3:0xc92d3e4c97d0cfb4!8m2!3d-1.2692328!4d116.8427979!16s%2Fg%2F11cncc62gz!19sChIJ00ZGxR9H8S0RtM_Ql0w-Lck?authuser=0&hl=id&rclk=1","Karakter Bina Insani (Biro Psikologi Karakter), Balikpapan","4,7","(9)","Psikolog","·","·","0813-5277-7270","","Situs Web","","","Tutup","· Buka Sen pukul 08.00","Jl. Mayjend Sutoyo Jl. Bukit Sion No.99, RT.48","https://www.instagram.com/karakterbinainsani/","","Rute",""
"https://www.google.com/maps/place/Klinik+Psikologi+PCC+%28Psychological+Comfort+Center%29/data=!4m7!3m6!1s0x2df1493adfbacf27:0xc70a760db41948f!8m2!3d-1.1979188!4d116.8506467!16s%2Fg%2F11s2j1k_gc!19sChIJJ8-63zpJ8S0Rj5RB22CncAw?authuser=0&hl=id&rclk=1","Klinik Psikologi PCC (Psychological Comfort Center)","","","Klinik Pengajaran Psikologi","·","Perumahan Graha Indah, Blk. J No.13, Rt 04","0819-4530-0004","","Rute","","","Tutup","· Buka Sen pukul 17.00","·","","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Praktik+Mandiri+Psikolog+Klinis+Dini+Novita/data=!4m7!3m6!1s0x2dfcb30061b0de9f:0xdbf8772cee47a73e!8m2!3d-2.2083088!4d113.911766!16s%2Fg%2F11nqpcm06m!19sChIJn96wYQCz_C0RPqdH7ix3-Ns?authuser=0&hl=id&rclk=1","Praktik Mandiri Psikolog Klinis Dini Novita","","","Psikolog","·","Jl. Krakatau No.5","0821-5643-1960","","Rute","","","Segera buka","· 10.00","·","","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Praktek+Psikiater+dr.+Hotma+Marintan,+Sp.KJ/data=!4m7!3m6!1s0x2dfcb3001d6d6f15:0x904e5f49ff09fdef!8m2!3d-2.2095019!4d113.9214703!16s%2Fg%2F11wv0vrrkw!19sChIJFW9tHQCz_C0R7_0J_0lfTpA?authuser=0&hl=id&rclk=1","Praktek Psikiater dr. Hotma Marintan, Sp.KJ","1,8","(5)","Dokter","·","QWRC+6H5, Jl. Let. Jend. Suprapto","0811-529-972","","Rute","","","Tutup","· Buka Sen pukul 17.00","·","","","",""
